block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_400359,2066,0,Southbound to UPPER GAGE at RYMAL ,13922,1_merged_673208,665381
b_400135,2052,1,Eastbound to JONES at KING ,13859,1_merged_673208,661797
b_400367,2065,0,Southbound to RYMAL opp SULMONA ,13919,2_merged_673210,665074
b_400391,2065,0,Southbound to RYMAL opp SULMONA ,13919,2_merged_673210,665075
b_400367,2065,0,Southbound to RYMAL opp SULMONA ,13919,2_merged_673210,665076
b_400391,2065,0,Southbound to RYMAL opp SULMONA ,13919,2_merged_673210,665077
b_400364,2065,0,Southbound to RYMAL opp SULMONA ,13919,2_merged_673210,665070
b_400365,2065,0,Southbound to RYMAL opp SULMONA ,13919,2_merged_673210,665071
b_400367,2065,0,Southbound to RYMAL opp SULMONA ,13919,2_merged_673210,665072
b_400391,2065,0,Southbound to RYMAL opp SULMONA ,13919,2_merged_673210,665073
b_400367,2065,0,Southbound to RYMAL opp SULMONA ,13919,2_merged_673210,665078
b_400392,2065,0,Southbound to RYMAL opp SULMONA ,13919,2_merged_673210,665079
a_399307,2004,0,Southbound to ST. ELIZABETH VILLAGE ,13555,2_merged_673207,644831
a_399307,2004,0,Southbound to ST. ELIZABETH VILLAGE ,13556,2_merged_673207,644830
a_399307,2004,0,Southbound to ST. ELIZABETH VILLAGE ,13556,2_merged_673207,644833
a_399306,2004,0,Southbound to ST. ELIZABETH VILLAGE ,13556,2_merged_673207,644832
a_399306,2004,0,Southbound to ST. ELIZABETH VILLAGE ,13555,2_merged_673207,644835
a_399306,2004,0,Southbound to ST. ELIZABETH VILLAGE ,13555,2_merged_673207,644834
a_399307,2004,0,Southbound to ST. ELIZABETH VILLAGE ,13555,2_merged_673207,644837
a_399306,2004,0,Southbound to ST. ELIZABETH VILLAGE ,13556,2_merged_673207,644836
a_399307,2004,1,Northbound to KING at HUGHSON ,13557,2_merged_673207,644839
a_399306,2004,1,Northbound to KING at HUGHSON ,13558,2_merged_673207,644838
b_400129,2052,0,Westbound to PIRIE at GOVERNORS ,13845,1_merged_673208,661617
a_399166,1995,0,Southbound to MOUNTAIN BROW LOOP ,13524,3_merged_673206,641533
a_399165,1995,0,Southbound to MOUNTAIN BROW LOOP ,13524,3_merged_673206,641532
a_399166,1995,0,Southbound to MOUNTAIN BROW LOOP ,13524,3_merged_673206,641531
a_399165,1995,0,Southbound to MOUNTAIN BROW LOOP ,13524,3_merged_673206,641530
a_399166,1995,0,Southbound to MOUNTAIN BROW LOOP ,13524,3_merged_673206,641537
a_399166,1995,0,Southbound to MOUNTAIN BROW LOOP ,13524,3_merged_673206,641536
a_399166,1995,0,Southbound to MOUNTAIN BROW LOOP ,13524,3_merged_673206,641535
a_399165,1995,0,Southbound to MOUNTAIN BROW LOOP ,13524,3_merged_673206,641534
b_400362,2065,1,Northbound to KING at JOHN ,13920,2_merged_673210,665113
b_400366,2065,1,Northbound to KING at JOHN ,13920,2_merged_673210,665112
a_399166,1995,0,Southbound to MOUNTAIN BROW LOOP ,13524,3_merged_673206,641539
a_399165,1995,0,Southbound to MOUNTAIN BROW LOOP ,13524,3_merged_673206,641538
b_400362,2065,1,Northbound to KING at JOHN ,13920,2_merged_673210,665117
b_400366,2065,1,Northbound to KING at JOHN ,13920,2_merged_673210,665116
b_400363,2065,1,Northbound to KING at JOHN ,13920,2_merged_673210,665115
b_400367,2065,1,Northbound to KING at JOHN ,13920,2_merged_673210,665114
a_399000,1984,1,Eastbound to QUIGLEY at GREENHILL ,13465,2_merged_673207,639208
a_398994,1984,1,Eastbound to GREENHILL opposite MALTA ,13467,2_merged_673207,639209
a_399145,2002,1,Northbound to KING at HUGHSON ,13548,1_merged_673205,647568
a_399150,2002,1,Northbound to KING at HUGHSON ,13546,1_merged_673205,647569
a_398989,1984,1,Eastbound to QUIGLEY at GREENHILL ,13465,2_merged_673207,639202
a_399147,2002,1,Northbound to KING at HUGHSON ,13546,1_merged_673205,647567
a_399150,2002,1,Northbound to KING at HUGHSON ,13548,1_merged_673205,647564
a_399151,2002,1,Northbound to KING at HUGHSON ,13546,1_merged_673205,647565
a_399154,2002,1,Northbound to KING at HUGHSON ,13548,1_merged_673205,647562
a_398992,1984,1,Eastbound to GREENHILL opposite MALTA ,13467,2_merged_673207,639207
a_399146,2002,1,Northbound to KING at HUGHSON ,13548,1_merged_673205,647560
a_398990,1984,1,Eastbound to GREENHILL opposite MALTA ,13467,2_merged_673207,639205
b_400101,2051,0,Eastbound to MOUNT ALBION LOOP ,13828,1_merged_673208,661261
b_400097,2051,0,Eastbound to MOUNT ALBION LOOP ,13828,1_merged_673208,661260
b_400548,2078,0,Eastbound to LEVI LOOP ,13982,2_merged_673210,669168
b_400315,2063,1,Northbound to KING at HUGHSON ,13913,1_merged_673208,664305
b_400318,2063,1,Northbound to KING at HUGHSON ,13913,1_merged_673208,664304
